"customer_id","gender","age","marital_status","dependents","tenure_months","city","state","meal_kind","dietary","meal_type","cook_days_per_week","recipes_per_week","latest_discount_used_pct","uses_other_meal_kits","skips_last_3_months","delivery_issues_last_3mo","app_logins_per_month","recipe_rating","customer_service_rating","price_per_recipe","monthly_charges","total_charges","churn","IMP_income","M_income"
"HF_000015","F",39,"Married",0,23,"New York","NY","Meat & Veggie","Low Carb","Quick & Easy",1,4,0.67,"No",4,3,14,4,3,9.73,155.68,3580.64,1,67717,0
"HF_000016","M",31,"Married",0,18,"Rochester","NY","Meat & Veggie","High Protein","Classic",3,5,0.11,"No",5,2,11,4,5,10.6,212,3816,0,269144,0
"HF_000017","F",67,"Single",1,12,"Atlanta","GA","Pescatarian","Plant Based","Quick & Easy",5,2,0.73,"Yes",0,1,5,4,3,9.2,73.6,883.2,0,278354,0
"HF_000018","F",30,"Single",0,36,"New York","NY","Pescatarian","Low Carb","Quick & Easy",2,4,0.38,"No",1,1,40,4,3,10.03,160.48,5777.28,0,272742,0
"HF_000019","F",57,"Married",0,32,"Orlando","FL","Veggie","Plant Based","Classic",2,5,0.46,"No",3,0,7,1,5,11.25,225,7200,0,186115,0
"HF_000020","M",65,"Single",3,22,"Dallas","TX","Veggie","Low Carb","Quick & Easy",4,4,0.16,"No",3,2,5,4,4,8.2,131.2,2886.4,0,130285,0
"HF_000021","F",55,"Single",0,49,"New York","NY","Pescatarian","High Protein","Classic",3,4,0.92,"Yes",4,2,7,5,1,10.99,175.84,8616.16,0,190734,1
"HF_000022","M",33,"Single",0,54,"Brooklyn","NY","Pescatarian","Low Carb","Quick & Easy",7,5,0.46,"Yes",3,3,24,3,5,10.42,208.4,11253.6,0,86814,0
"HF_000023","F",36,"Single",2,44,"Boston","MA","Pescatarian","Low Carb","Quick & Easy",6,4,0.04,"Yes",1,2,21,5,2,9.25,148,6512,0,67527,0
"HF_000024","F",66,"Single",0,14,"San Diego","CA","Veggie","Low Carb","Premium",3,2,0.89,"No",2,1,10,5,2,12.85,102.8,1439.2,0,205639,0
"HF_000025","F",42,"Single",1,9,"Brooklyn","NY","Veggie","Low Calories","Quick & Easy",2,4,0.05,"No",3,0,32,2,3,7.91,126.56,1139.04,0,296982,0
"HF_000026","F",63,"Married",3,23,"San Diego","CA","Veggie","High Protein","Quick & Easy",3,3,0.1,"No",2,1,4,2,4,9.57,114.84,2641.32,0,53176,0
"HF_000027","F",42,"Single",1,4,"Portland","OR","Meat & Veggie","Low Carb","Premium",7,6,0.68,"No",0,1,29,4,2,12.86,308.64,1234.56,0,166870.5,1
"HF_000028","F",42,"Married",0,30,"Buffalo","NY","Pescatarian","Low Sugar","Premium",5,2,0.34,"No",1,1,14,5,1,11.94,95.52,2865.6,0,166389.5,1
"HF_000029","F",64,"Single",2,41,"Brooklyn","NY","Pescatarian","Low Carb","Classic",6,2,0.92,"No",2,1,12,3,5,10.97,87.76,3598.16,0,287277,0
"HF_000030","F",24,"Single",0,15,"Atlanta","GA","Meat & Veggie","Low Calories","Quick & Easy",7,5,0.65,"Yes",3,2,10,3,1,10.21,204.2,3063,0,180624,1
"HF_000031","F",67,"Single",1,37,"Charlotte","NC","Meat & Veggie","Low Sugar","Premium",7,4,0.05,"No",0,1,31,5,5,13.87,221.92,8211.04,0,101584,0
"HF_000032","M",69,"Single",3,43,"Portland","OR","Pescatarian","Low Carb","Premium",5,6,0.01,"Yes",3,3,44,3,1,12.75,306,13158,0,266262,0
"HF_000033","F",71,"Married",1,36,"Oakland","CA","Meat & Veggie","Low Calories","Premium",7,7,0.78,"No",4,2,33,3,2,12.67,354.76,12771.36,0,196254,0
"HF_000034","F",31,"Single",2,19,"Brooklyn","NY","Meat & Veggie","Low Salt","Quick & Easy",5,4,0.36,"No",5,0,16,1,3,9.45,151.2,2872.8,1,186167,1
"HF_000035","F",76,"Single",1,9,"Cambridge","MA","Pescatarian","High Protein","Premium",6,6,0.02,"Yes",0,0,23,4,4,13.43,322.32,2900.88,0,158132,0
"HF_000036","M",26,"Single",3,8,"New York","NY","Pescatarian","Plant Based","Classic",5,5,0.23,"Yes",3,3,36,4,3,10.81,216.2,1729.6,0,132922,0
"HF_000037","F",48,"Married",1,16,"San Diego","CA","Meat & Veggie","Low Calories","Classic",6,4,0.8,"No",4,3,32,4,3,11.52,184.32,2949.12,0,144686,0
"HF_000038","M",35,"Single",0,37,"New York","NY","Veggie","Plant Based","Premium",2,3,0.59,"Yes",4,3,18,4,4,13.76,165.12,6109.44,0,296886,0
"HF_000039","F",52,"Single",3,55,"Charlotte","NC","Veggie","Low Carb","Classic",3,3,0.11,"No",4,3,44,1,2,10.74,128.88,7088.4,0,53684,0
"HF_000040","M",43,"Single",2,1,"Oakland","CA","Meat & Veggie","High Protein","Classic",7,3,0.07,"Yes",1,1,10,3,4,13.59,163.08,163.08,0,207653,0
"HF_000041","M",48,"Married",0,3,"Cambridge","MA","Meat & Veggie","Plant Based","Classic",2,4,0.22,"No",2,1,4,5,4,10.64,170.24,510.72,0,231113,0
"HF_000042","M",37,"Married",1,2,"Dallas","TX","Veggie","High Protein","Premium",1,2,0.17,"No",5,2,13,3,3,14.36,114.88,229.76,1,171292,0
"HF_000043","F",33,"Single",0,53,"Portland","OR","Pescatarian","Plant Based","Premium",6,3,0.14,"Yes",4,3,28,5,1,14.73,176.76,9368.28,0,201007,0
"HF_000044","F",49,"Single",1,46,"San Francisco","CA","Veggie","Plant Based","Premium",4,3,0.72,"Yes",0,3,30,2,3,12.48,149.76,6888.96,0,90010,0
"HF_000045","F",58,"Single",1,26,"Brooklyn","NY","Meat & Veggie","Low Calories","Quick & Easy",4,6,0.85,"No",0,0,23,5,4,8.85,212.4,5522.4,0,196555,0
"HF_000046","F",29,"Single",4,26,"Atlanta","GA","Meat & Veggie","Low Carb","Premium",2,4,0.34,"No",3,3,41,5,5,14.56,232.96,6056.96,0,228352,0
"HF_000047","F",49,"Married",1,58,"Portland","OR","Meat & Veggie","Low Carb","Premium",2,5,0.05,"Yes",1,3,2,4,4,12.4,248,14384,0,97383,0
"HF_000048","M",20,"Single",1,5,"Houston","TX","Veggie","Low Salt","Premium",4,2,0.41,"No",1,1,43,4,2,13.57,108.56,542.8,0,140556,0
"HF_000049","F",26,"Single",2,16,"Houston","TX","Pescatarian","Plant Based","Quick & Easy",1,5,0.43,"No",5,2,10,4,3,10.64,212.8,3404.8,0,280319,0
"HF_000050","F",72,"Single",1,41,"Dallas","TX","Meat & Veggie","Low Carb","Quick & Easy",2,3,0.04,"No",0,3,23,3,3,11.69,140.28,5751.48,0,246118,0
"HF_000051","M",71,"Single",1,9,"Orlando","FL","Pescatarian","Plant Based","Quick & Easy",5,4,0.93,"Yes",2,2,28,3,3,10.92,174.72,1572.48,0,75391,0
"HF_000052","F",22,"Single",0,59,"Oakland","CA","Veggie","Plant Based","Classic",1,5,0.01,"Yes",5,2,37,3,3,10.92,218.4,12885.6,0,182069.5,1
"HF_000053","F",72,"Single",1,29,"Dallas","TX","Veggie","Plant Based","Quick & Easy",4,4,0.11,"Yes",2,3,26,3,2,8.8,140.8,4083.2,1,247982,0
"HF_000054","F",31,"Single",1,22,"Portland","OR","Veggie","High Protein","Quick & Easy",3,6,0.28,"Yes",5,2,30,3,4,9.11,218.64,4810.08,1,134586,0
"HF_000055","M",29,"Single",0,2,"Chicago","IL","Pescatarian","Plant Based","Quick & Easy",7,4,0.39,"No",0,2,1,4,2,10.16,162.56,325.12,0,148323,0
"HF_000056","F",62,"Single",2,45,"Denver","CO","Meat & Veggie","Plant Based","Premium",6,3,0.42,"No",5,1,23,3,3,12.71,152.52,6863.4,0,63484,0
"HF_000057","F",51,"Single",1,33,"Brooklyn","NY","Meat & Veggie","Plant Based","Quick & Easy",1,6,0.12,"Yes",1,3,33,3,3,10.92,262.08,8648.64,0,173168,0
"HF_000058","M",63,"Married",0,30,"Miami","FL","Meat & Veggie","High Protein","Premium",3,3,0.7,"Yes",5,2,37,3,5,13.15,157.8,4734,0,155610,0
"HF_000059","M",22,"Single",2,40,"New York","NY","Veggie","Low Salt","Quick & Easy",7,3,0.08,"Yes",1,0,44,4,5,9.06,108.72,4348.8,0,170702,0
"HF_000060","M",63,"Single",1,44,"Charlotte","NC","Veggie","High Protein","Premium",2,2,0.51,"No",1,0,3,3,5,13.49,107.92,4748.48,0,156475,0
"HF_000061","M",47,"Single",2,58,"Seattle","WA","Pescatarian","Low Carb","Premium",6,3,0.02,"Yes",2,0,44,3,4,13.01,156.12,9054.96,0,101626,0
"HF_000062","F",42,"Married",0,53,"Boston","MA","Pescatarian","Plant Based","Quick & Easy",6,3,0.29,"No",4,0,16,2,3,9.64,115.68,6131.04,0,233869,0
"HF_000063","M",50,"Married",0,30,"Cambridge","MA","Veggie","Low Salt","Quick & Easy",6,4,0.45,"No",4,0,16,3,4,8.75,140,4200,0,89324,0
"HF_000064","F",19,"Single",2,53,"Miami","FL","Veggie","Low Salt","Quick & Easy",3,6,0.51,"No",2,1,19,1,2,8.5,204,10812,1,269524,0
"HF_000065","M",58,"Single",1,12,"Denver","CO","Pescatarian","High Protein","Classic",2,6,0.02,"No",3,3,15,4,3,11.54,276.96,3323.52,0,162120,1
"HF_000066","F",42,"Single",0,50,"Oakland","CA","Veggie","Plant Based","Premium",3,2,0.54,"Yes",2,2,42,2,4,11.36,90.88,4544,0,128174,0
"HF_000067","F",71,"Single",1,22,"Denver","CO","Meat & Veggie","High Protein","Quick & Easy",1,4,0.92,"No",2,1,27,2,4,10.36,165.76,3646.72,0,252382,0
"HF_000068","M",49,"Single",1,22,"New York","NY","Veggie","Low Calories","Quick & Easy",1,2,0.88,"Yes",5,1,40,2,4,9.72,77.76,1710.72,1,133196,0
"HF_000069","F",53,"Single",0,2,"Boston","MA","Pescatarian","Plant Based","Premium",7,6,0.7,"No",4,3,26,5,4,12.3,295.2,590.4,0,104224,0
"HF_000070","F",20,"Married",1,24,"Seattle","WA","Pescatarian","Low Calories","Classic",5,4,0.41,"No",4,1,15,4,4,10.71,171.36,4112.64,0,106549,0
"HF_000071","F",72,"Single",0,15,"Portland","OR","Meat & Veggie","Plant Based","Quick & Easy",5,6,0.43,"Yes",1,2,19,3,3,10.92,262.08,3931.2,0,128370,0
"HF_000072","F",51,"Single",0,52,"Atlanta","GA","Veggie","Low Calories","Quick & Easy",2,6,0,"No",0,3,37,4,4,8.78,210.72,10957.44,0,184665,0
"HF_000073","M",67,"Single",1,49,"Brooklyn","NY","Meat & Veggie","Low Sugar","Classic",7,3,0.11,"Yes",3,1,7,1,3,12.08,144.96,7103.04,0,82556,0
"HF_000074","F",30,"Married",2,21,"Charlotte","NC","Veggie","Plant Based","Premium",7,5,0.03,"No",3,0,3,4,2,13.56,271.2,5695.2,0,82313,0
"HF_000075","M",75,"Married",1,5,"Los Angeles","CA","Veggie","Low Carb","Classic",3,3,0.66,"No",1,2,14,4,3,11.98,143.76,718.8,0,191422,0
"HF_000076","F",71,"Single",1,2,"Portland","OR","Pescatarian","Plant Based","Premium",2,5,0.84,"No",4,2,10,3,3,13.19,263.8,527.6,1,107745,0
"HF_000077","F",47,"Single",2,4,"Seattle","WA","Veggie","Plant Based","Premium",7,6,0.65,"No",1,2,22,2,3,11.55,277.2,1108.8,1,245456,0
"HF_000078","F",53,"Single",2,47,"Boston","MA","Pescatarian","Low Carb","Premium",6,2,0.18,"No",1,1,14,4,2,13.41,107.28,5042.16,0,78979,0
"HF_000079","M",42,"Married",0,52,"Austin","TX","Meat & Veggie","Plant Based","Quick & Easy",1,6,0.02,"Yes",3,3,32,2,3,9.96,239.04,12430.08,0,163119,1
"HF_000080","F",29,"Single",2,29,"Brooklyn","NY","Meat & Veggie","Low Carb","Quick & Easy",2,6,0.25,"No",2,0,30,3,4,9.39,225.36,6535.44,0,222863,0
"HF_000081","F",57,"Single",0,49,"Brooklyn","NY","Meat & Veggie","Low Salt","Quick & Easy",4,6,0.08,"No",0,0,1,2,5,10.28,246.72,12089.28,0,186167,1
"HF_000082","F",26,"Married",1,31,"Denver","CO","Veggie","Plant Based","Quick & Easy",7,2,0.65,"No",0,1,0,4,2,10.69,85.52,2651.12,0,232370,0
"HF_000083","M",21,"Married",2,5,"Brooklyn","NY","Veggie","Plant Based","Classic",5,6,0.27,"No",3,0,28,5,3,11.29,270.96,1354.8,0,178958,0
"HF_000084","F",37,"Married",2,58,"San Francisco","CA","Meat & Veggie","Plant Based","Quick & Easy",4,5,0.04,"Yes",0,3,24,3,2,8.06,161.2,9349.6,0,280168,0
"HF_000085","M",54,"Married",2,51,"Orlando","FL","Veggie","High Protein","Quick & Easy",6,2,0.13,"Yes",0,3,26,4,4,9.02,72.16,3680.16,0,66870,0
"HF_000086","M",37,"Single",1,2,"Chicago","IL","Meat & Veggie","Plant Based","Premium",6,5,0.07,"Yes",4,0,35,4,5,12.47,249.4,498.8,1,180517,1
"HF_000087","F",35,"Single",3,5,"Los Angeles","CA","Veggie","Plant Based","Classic",2,4,0.87,"No",5,2,44,5,4,10.14,162.24,811.2,0,226317,0
"HF_000088","M",43,"Married",1,56,"Dallas","TX","Pescatarian","Low Carb","Quick & Easy",3,5,0.68,"Yes",5,1,0,4,2,11.03,220.6,12353.6,1,241732,0
"HF_000089","F",66,"Single",1,46,"Dallas","TX","Pescatarian","Low Sugar","Premium",3,5,0.67,"Yes",2,1,42,3,4,13.75,275,12650,0,187235,1
"HF_000090","F",71,"Single",2,30,"Chicago","IL","Veggie","Low Salt","Quick & Easy",5,5,0.45,"No",5,3,31,4,0,8.09,161.8,4854,0,212718,0
"HF_000091","F",20,"Single",0,11,"Austin","TX","Veggie","Plant Based","Quick & Easy",5,3,0.15,"No",4,0,3,4,2,9.54,114.48,1259.28,0,153431,0
"HF_000092","F",70,"Married",1,2,"Buffalo","NY","Meat & Veggie","Plant Based","Classic",4,1,0.04,"Yes",2,1,11,3,3,10.92,43.68,87.36,0,64689,0
"HF_000093","F",47,"Single",0,50,"San Francisco","CA","Meat & Veggie","Plant Based","Quick & Easy",6,4,0.06,"Yes",0,1,40,4,1,10.12,161.92,8096,0,166027,0
"HF_000094","F",19,"Single",0,18,"Orlando","FL","Veggie","Low Carb","Quick & Easy",2,5,0.03,"No",4,2,3,2,4,9.18,183.6,3304.8,0,147948,0
"HF_000095","F",50,"Single",0,40,"Evanston","IL","Pescatarian","Plant Based","Premium",3,2,0.6,"Yes",0,2,40,2,1,11.98,95.84,3833.6,0,289660,0
"HF_000096","F",48,"Married",1,29,"Portland","OR","Meat & Veggie","Low Calories","Premium",3,4,0.88,"No",4,2,14,0,4,13.58,217.28,6301.12,0,57397,0
"HF_000097","F",72,"Single",2,37,"Oakland","CA","Meat & Veggie","Low Salt","Premium",2,5,0.43,"No",5,3,3,3,3,13.12,262.4,9708.8,1,129480,0
"HF_000098","F",46,"Single",3,53,"Boston","MA","Pescatarian","Plant Based","Premium",6,3,0.01,"No",2,0,1,3,4,12.75,153,8109,1,170909,0
"HF_000099","F",62,"Single",1,16,"San Diego","CA","Meat & Veggie","Plant Based","Premium",6,2,0.14,"No",5,0,24,4,5,11.97,95.76,1532.16,0,121029,0
"HF_000100","F",56,"Single",2,13,"Evanston","IL","Veggie","Plant Based","Classic",6,5,0.19,"No",0,0,43,5,4,10.16,203.2,2641.6,0,216680,0
"HF_000101","M",36,"Single",0,16,"Austin","TX","Veggie","High Protein","Quick & Easy",5,2,0.72,"No",3,2,7,3,3,8.64,69.12,1105.92,0,206400,0
"HF_000102","F",74,"Married",2,36,"Brooklyn","NY","Meat & Veggie","Plant Based","Premium",6,5,0.19,"Yes",1,0,1,4,4,15.16,303.2,10915.2,0,186167,1
"HF_000103","F",28,"Single",0,36,"Miami","FL","Veggie","Plant Based","Quick & Easy",6,5,0.3,"Yes",3,0,1,4,4,8.8,176,6336,0,174049,1
"HF_000104","F",37,"Married",0,34,"Evanston","IL","Pescatarian","Low Carb","Premium",4,5,0.2,"Yes",5,2,22,4,5,14.46,289.2,9832.8,0,195883,0
"HF_000105","F",60,"Single",0,27,"Miami","FL","Pescatarian","Low Calories","Premium",3,3,0.38,"Yes",1,0,25,3,2,13.38,160.56,4335.12,0,174049,1
"HF_000106","F",34,"Married",1,13,"Oakland","CA","Pescatarian","High Protein","Classic",4,3,0.85,"Yes",3,2,43,3,4,10.75,129,1677,1,182231,0
"HF_000107","F",62,"Single",0,42,"Seattle","WA","Meat & Veggie","Low Carb","Quick & Easy",7,6,0.32,"No",5,2,1,4,4,8.42,202.08,8487.36,0,160234,0
"HF_000108","F",23,"Single",1,20,"Dallas","TX","Pescatarian","Low Calories","Quick & Easy",5,2,0.81,"No",1,3,35,2,3,10.16,81.28,1625.6,1,234815,0
"HF_000109","F",70,"Single",4,55,"Charlotte","NC","Pescatarian","Low Carb","Quick & Easy",7,5,0.12,"Yes",1,0,15,4,3,10.95,219,12045,0,132660,0
"HF_000110","M",22,"Single",0,17,"New York","NY","Meat & Veggie","High Protein","Quick & Easy",4,3,0.05,"Yes",2,3,12,3,3,9.97,119.64,2033.88,0,190255,0
"HF_000111","F",46,"Married",1,22,"Atlanta","GA","Pescatarian","Low Carb","Premium",3,2,0.58,"No",4,2,28,3,2,14.28,114.24,2513.28,1,199094,0
"HF_000112","M",45,"Married",2,46,"Portland","OR","Pescatarian","Low Salt","Premium",4,2,0.49,"Yes",5,1,35,1,4,12.7,101.6,4673.6,0,104041,0
"HF_000113","F",63,"Single",1,56,"Buffalo","NY","Veggie","Low Carb","Quick & Easy",3,4,0.43,"Yes",5,1,25,5,1,8.89,142.24,7965.44,0,166389.5,1
"HF_000114","F",41,"Single",1,5,"Rochester","NY","Pescatarian","Low Sugar","Classic",3,2,0.54,"Yes",4,2,41,3,3,12.05,96.4,482,0,184644,0
"HF_000115","M",73,"Single",0,1,"Dallas","TX","Pescatarian","Low Salt","Quick & Easy",6,6,0.11,"No",3,0,3,3,4,9.16,219.84,219.84,1,187235,1
"HF_000116","F",55,"Married",0,59,"Chicago","IL","Pescatarian","Plant Based","Premium",6,6,0.6,"No",1,1,40,3,2,14.78,354.72,20928.48,0,50144,0
"HF_000117","M",68,"Single",2,12,"Brooklyn","NY","Pescatarian","Plant Based","Quick & Easy",2,5,0.82,"No",1,2,9,3,3,9.74,194.8,2337.6,0,256860,0
"HF_000118","F",70,"Single",1,3,"Rochester","NY","Meat & Veggie","Low Carb","Quick & Easy",3,4,0.14,"No",2,2,37,5,3,9.91,158.56,475.68,0,182150.5,1
"HF_000119","F",29,"Single",1,6,"San Diego","CA","Meat & Veggie","Low Calories","Classic",4,4,0.02,"Yes",3,2,26,2,2,10.76,172.16,1032.96,0,140438,0
"HF_000120","M",21,"Single",1,1,"Brooklyn","NY","Pescatarian","Plant Based","Quick & Easy",4,1,0.91,"Yes",1,1,16,2,2,10.23,40.92,40.92,0,287690,0
"HF_000121","F",35,"Single",0,44,"Chicago","IL","Meat & Veggie","Plant Based","Premium",2,5,0.48,"Yes",3,3,14,0,3,13.56,271.2,11932.8,0,190839,0
"HF_000122","M",41,"Single",2,27,"Seattle","WA","Pescatarian","High Protein","Quick & Easy",1,5,0.01,"No",2,1,34,3,4,9.53,190.6,5146.2,0,215240,0
"HF_000123","F",60,"Single",1,49,"Buffalo","NY","Pescatarian","Low Sugar","Classic",3,6,0.29,"Yes",1,3,37,3,0,10.99,263.76,12924.24,0,250741,0
"HF_000124","M",47,"Single",1,25,"San Diego","CA","Meat & Veggie","Low Sugar","Quick & Easy",5,6,0.8,"No",1,2,3,2,1,8.81,211.44,5286,0,132794,0
"HF_000125","M",44,"Married",1,33,"Seattle","WA","Pescatarian","Low Carb","Quick & Easy",6,5,0.64,"Yes",4,2,43,3,3,10.34,206.8,6824.4,0,138607,0
"HF_000126","F",37,"Single",2,14,"San Francisco","CA","Veggie","Low Salt","Quick & Easy",3,2,0.83,"Yes",3,1,13,3,4,9.45,75.6,1058.4,0,295718,0
"HF_000127","F",59,"Married",2,25,"Brooklyn","NY","Veggie","Plant Based","Quick & Easy",5,6,0.04,"No",3,2,25,4,5,8.8,211.2,5280,0,279045,0
"HF_000128","F",37,"Single",2,11,"Portland","OR","Pescatarian","Plant Based","Quick & Easy",7,5,0.62,"No",2,2,42,4,4,10.3,206,2266,0,77211,0
"HF_000129","F",18,"Single",1,18,"Boston","MA","Pescatarian","Low Salt","Quick & Easy",3,3,0.71,"Yes",2,2,12,1,3,10.12,121.44,2185.92,0,82938,0
"HF_000130","F",72,"Married",1,43,"Denver","CO","Pescatarian","Low Carb","Premium",4,5,0.89,"No",3,1,30,3,2,11.93,238.6,10259.8,0,169103,0
"HF_000131","F",75,"Married",1,38,"Austin","TX","Veggie","Low Carb","Classic",2,3,0.34,"Yes",5,3,25,3,4,10.27,123.24,4683.12,0,55277,0
"HF_000132","M",29,"Married",0,18,"Chicago","IL","Pescatarian","High Protein","Premium",3,2,0.35,"No",5,3,7,2,2,12.41,99.28,1787.04,1,213378,0
"HF_000133","M",44,"Married",0,1,"Cambridge","MA","Meat & Veggie","Plant Based","Quick & Easy",3,6,0.78,"No",1,3,36,2,5,9.23,221.52,221.52,1,276367,0
"HF_000134","M",76,"Single",1,55,"Buffalo","NY","Veggie","Plant Based","Classic",4,4,0.51,"Yes",0,0,2,3,1,10.03,160.48,8826.4,0,166389.5,1
"HF_000135","M",64,"Single",0,32,"Evanston","IL","Meat & Veggie","Low Carb","Quick & Easy",5,6,0.72,"Yes",2,1,19,2,5,9.42,226.08,7234.56,0,93810,0
"HF_000136","M",54,"Married",2,47,"Boston","MA","Pescatarian","Low Carb","Classic",6,2,0.12,"No",0,0,20,3,5,12.02,96.16,4519.52,0,230578,0
"HF_000137","M",52,"Single",1,40,"Brooklyn","NY","Veggie","Low Carb","Quick & Easy",2,2,0.92,"No",2,0,0,4,2,9.78,78.24,3129.6,0,165342,0
"HF_000138","M",24,"Single",0,44,"Evanston","IL","Veggie","High Protein","Premium",5,5,0.45,"No",3,0,2,3,3,13.58,271.6,11950.4,0,191051.5,1
"HF_000139","F",65,"Married",2,1,"Austin","TX","Veggie","High Protein","Quick & Easy",4,6,0.98,"No",0,1,23,4,1,10.43,250.32,250.32,0,245021,0
"HF_000140","M",18,"Single",2,22,"Boston","MA","Meat & Veggie","High Protein","Quick & Easy",3,5,0.56,"No",1,2,40,4,3,10.36,207.2,4558.4,0,82344,0
"HF_000141","F",77,"Married",0,51,"Houston","TX","Pescatarian","Low Sugar","Classic",1,3,0.02,"Yes",4,3,19,4,3,11.24,134.88,6878.88,0,87056,0
"HF_000142","M",45,"Married",2,58,"Rochester","NY","Meat & Veggie","High Protein","Classic",3,3,0.06,"No",5,1,3,4,3,12.03,144.36,8372.88,0,182150.5,1
"HF_000143","F",46,"Married",1,4,"Miami","FL","Pescatarian","Plant Based","Classic",7,5,0.18,"No",5,2,5,4,2,11.88,237.6,950.4,1,286295,0
"HF_000144","F",74,"Single",2,48,"Brooklyn","NY","Veggie","High Protein","Classic",1,6,0.87,"No",2,0,7,2,5,11.25,270,12960,0,166984,0
"HF_000145","F",38,"Married",1,30,"San Francisco","CA","Veggie","Low Calories","Quick & Easy",7,6,0.9,"Yes",1,3,22,5,2,9.65,231.6,6948,0,84286,0
"HF_000146","M",72,"Single",1,11,"Boston","MA","Veggie","High Protein","Classic",7,2,0.15,"No",1,0,25,2,3,11.98,95.84,1054.24,1,155163,0
"HF_000147","F",62,"Married",0,13,"Chicago","IL","Meat & Veggie","Low Sugar","Quick & Easy",1,5,0.29,"Yes",0,2,36,4,2,8.73,174.6,2269.8,0,296254,0
"HF_000148","M",71,"Single",1,32,"New York","NY","Pescatarian","Low Carb","Premium",3,6,0.5,"No",0,2,27,2,2,12.77,306.48,9807.36,0,213759,0
"HF_000149","M",62,"Married",0,48,"Cambridge","MA","Veggie","High Protein","Quick & Easy",7,4,0.07,"No",0,0,19,5,2,8.81,140.96,6766.08,0,281602,0
"HF_000150","F",58,"Single",3,28,"Charlotte","NC","Meat & Veggie","Plant Based","Quick & Easy",1,6,0.11,"Yes",3,3,43,1,3,8.61,206.64,5785.92,0,276323,0
"HF_000151","M",30,"Married",2,7,"Denver","CO","Pescatarian","High Protein","Premium",7,4,1,"No",3,0,32,5,3,14.69,235.04,1645.28,0,224440,0
"HF_000152","F",25,"Single",0,35,"Rochester","NY","Meat & Veggie","Plant Based","Quick & Easy",4,2,0.97,"No",2,0,4,5,5,9.17,73.36,2567.6,0,72244,0
"HF_000153","M",27,"Single",0,34,"Evanston","IL","Meat & Veggie","Low Carb","Quick & Easy",5,6,0.51,"Yes",0,0,32,2,5,9.46,227.04,7719.36,0,191051.5,1
"HF_000154","F",50,"Single",1,46,"Portland","OR","Meat & Veggie","Low Salt","Quick & Easy",1,6,0.69,"No",5,2,25,4,2,9,216,9936,0,259905,0
"HF_000155","M",26,"Single",1,14,"Cambridge","MA","Meat & Veggie","Low Sugar","Quick & Easy",2,3,0.42,"Yes",2,3,33,3,3,10.39,124.68,1745.52,0,165191.5,1
